episode,total_reward
1,1.0
2,5.0
3,9.0
4,-5.0
5,2.0
6,0.0
7,-1.0
8,-3.0
9,-7.0
10,-3.0
11,2.0
12,0.0
13,1.0
14,0.0
15,4.0
16,6.0
17,4.0
18,-1.0
19,2.0
20,2.0
21,0.0
22,5.0
23,1.0
24,-3.0
25,-6.0
26,3.0
27,2.0
28,-6.0
29,-2.0
30,7.0
31,-2.0
32,-1.0
33,0.0
34,-2.0
35,-1.0
36,-6.0
37,-5.0
38,-18.0
39,-7.0
40,1.0
41,0.0
42,-12.0
43,-15.0
44,-7.0
45,-2.0
46,-3.0
47,0.0
48,0.0
49,0.0
50,-4.0
51,-3.0
52,-1.0
53,-7.0
54,-11.0
55,0.0
56,-1.0
57,-1.0
58,-9.0
59,5.0
60,-6.0
61,-2.0
62,-3.0
63,-3.0
64,2.0
65,3.0
66,6.0
67,-2.0
68,2.0
69,0.0
70,-2.0
71,6.0
72,-2.0
73,6.0
74,0.0
75,0.0
76,-3.0
77,-3.0
78,3.0
79,1.0
80,-14.0
81,-6.0
82,-3.0
83,1.0
84,0.0
85,-12.0
86,-7.0
87,4.0
88,2.0
89,-9.0
90,10.0
91,3.0
92,-2.0
93,-2.0
94,4.0
95,-8.0
96,-2.0
97,-7.0
98,3.0
99,-2.0
100,-4.0
101,3.0
102,-2.0
103,-1.0
104,0.0
105,-4.0
106,-3.0
107,-15.0
108,13.0
109,-7.0
110,-3.0
111,-6.0
112,2.0
113,4.0
114,-6.0
115,-10.0
116,3.0
117,-6.0
118,-9.0
119,-1.0
120,10.0
121,6.0
122,7.0
123,0.0
124,-4.0
125,5.0
126,2.0
127,0.0
128,7.0
129,2.0
130,0.0
131,-3.0
132,-12.0
133,-3.0
134,13.0
135,2.0
136,-5.0
137,1.0
138,0.0
139,17.0
140,0.0
141,3.0
142,1.0
143,3.0
144,1.0
145,24.0
146,7.0
147,0.0
148,5.0
149,8.0
150,19.0
151,3.0
152,17.0
153,12.0
154,-10.0
155,8.0
156,1.0
157,4.0
158,12.0
159,-3.0
160,-1.0
161,2.0
162,4.0
163,17.0
164,2.0
165,2.0
166,-2.0
167,23.0
168,-5.0
169,11.0
170,4.0
171,7.0
172,5.0
173,5.0
174,-1.0
175,0.0
176,33.0
177,-1.0
178,15.0
179,0.0
180,14.0
181,9.0
182,9.0
183,5.0
184,5.0
185,27.0
186,3.0
187,10.0
188,28.0
189,-2.0
190,-4.0
191,7.0
192,24.0
193,6.0
194,-4.0
195,13.0
196,-1.0
197,15.0
198,1.0
199,0.0
200,2.0
201,16.0
202,13.0
203,10.0
204,24.0
205,15.0
206,15.0
207,11.0
208,-2.0
209,16.0
210,1.0
211,0.0
212,13.0
213,20.0
214,13.0
215,14.0
216,11.0
217,16.0
218,4.0
219,7.0
220,0.0
221,2.0
222,11.0
223,17.0
224,8.0
225,20.0
226,21.0
227,6.0
228,22.0
229,23.0
230,25.0
231,11.0
232,3.0
233,1.0
234,9.0
235,24.0
236,-4.0
237,2.0
238,1.0
239,14.0
240,20.0
241,0.0
242,0.0
243,22.0
244,8.0
245,1.0
246,15.0
247,24.0
248,29.0
249,-2.0
250,20.0
251,2.0
252,10.0
253,2.0
254,6.0
255,1.0
256,14.0
257,1.0
258,-13.0
259,22.0
260,12.0
261,-1.0
262,37.0
263,25.0
264,33.0
265,15.0
266,12.0
267,30.0
268,-2.0
269,21.0
270,11.0
271,5.0
272,42.0
273,44.0
274,10.0
275,9.0
276,2.0
277,47.0
278,39.0
279,4.0
280,6.0
281,2.0
282,18.0
283,10.0
284,6.0
285,-3.0
286,21.0
287,-2.0
288,6.0
289,44.0
290,34.0
291,13.0
292,27.0
293,18.0
294,14.0
295,27.0
296,37.0
297,17.0
298,12.0
299,25.0
300,45.0
301,31.0
302,30.0
303,0.0
304,13.0
305,8.0
306,3.0
307,-1.0
308,19.0
309,24.0
310,18.0
311,48.0
312,46.0
313,29.0
314,8.0
315,32.0
316,23.0
317,18.0
318,30.0
319,5.0
320,29.0
321,2.0
322,9.0
323,0.0
324,14.0
325,34.0
326,21.0
327,25.0
328,23.0
329,4.0
330,14.0
331,11.0
332,12.0
333,10.0
334,33.0
335,25.0
336,1.0
337,23.0
338,38.0
339,12.0
340,18.0
341,1.0
342,42.0
343,35.0
344,16.0
345,64.0
346,35.0
347,23.0
348,10.0
349,36.0
350,28.0
351,18.0
352,51.0
353,42.0
354,11.0
355,42.0
356,8.0
357,28.0
358,22.0
359,40.0
360,1.0
361,18.0
362,19.0
363,20.0
364,36.0
365,38.0
366,34.0
367,13.0
368,15.0
369,37.0
370,7.0
371,34.0
372,35.0
373,37.0
374,2.0
375,9.0
376,38.0
377,5.0
378,26.0
379,17.0
380,34.0
381,17.0
382,17.0
383,2.0
384,24.0
385,32.0
386,23.0
387,32.0
388,9.0
389,6.0
390,15.0
391,13.0
392,41.0
393,1.0
394,18.0
395,35.0
396,59.0
397,16.0
398,40.0
399,18.0
