episode,total_reward
1,0.0
2,-3.0
3,-1.0
4,1.0
5,-3.0
6,2.0
7,-2.0
8,1.0
9,-7.0
10,-1.0
11,0.0
12,1.0
13,0.0
14,-1.0
15,5.0
16,-2.0
17,0.0
18,-3.0
19,0.0
20,-5.0
21,-15.0
22,0.0
23,-3.0
24,-9.0
25,-5.0
26,-6.0
27,2.0
28,-3.0
29,14.0
30,2.0
31,0.0
32,-3.0
33,-11.0
34,5.0
35,-7.0
36,1.0
37,4.0
38,0.0
39,5.0
40,-3.0
41,-10.0
42,6.0
43,-5.0
44,0.0
45,0.0
46,-6.0
47,1.0
48,16.0
49,-1.0
50,-6.0
51,1.0
52,-6.0
53,16.0
54,-6.0
55,4.0
56,1.0
57,0.0
58,1.0
59,3.0
60,6.0
61,2.0
62,0.0
63,-1.0
64,-1.0
65,0.0
66,-1.0
67,1.0
68,4.0
69,16.0
70,1.0
71,-1.0
72,11.0
73,-2.0
74,3.0
75,0.0
76,1.0
77,2.0
78,1.0
79,7.0
80,3.0
81,10.0
82,-1.0
83,-3.0
84,10.0
85,5.0
86,-2.0
87,-1.0
88,0.0
89,3.0
90,0.0
91,7.0
92,7.0
93,1.0
94,12.0
95,4.0
96,13.0
97,4.0
98,0.0
99,3.0
100,2.0
101,-1.0
102,-9.0
103,-7.0
104,12.0
105,-1.0
106,-1.0
107,6.0
108,9.0
109,-5.0
110,1.0
111,28.0
112,19.0
113,4.0
114,5.0
115,1.0
116,-1.0
117,-1.0
118,0.0
119,3.0
120,2.0
121,8.0
122,4.0
123,2.0
124,0.0
125,8.0
126,1.0
127,-1.0
128,1.0
129,5.0
130,1.0
131,9.0
132,3.0
133,5.0
134,-2.0
135,2.0
136,7.0
137,2.0
138,12.0
139,-2.0
140,0.0
141,18.0
142,-3.0
143,9.0
144,-1.0
145,-5.0
146,1.0
147,-1.0
148,8.0
149,2.0
150,28.0
151,5.0
152,-13.0
153,11.0
154,17.0
155,9.0
156,-1.0
157,-5.0
158,7.0
159,-1.0
160,6.0
161,-4.0
162,3.0
163,-5.0
164,9.0
165,11.0
166,1.0
167,-17.0
168,-11.0
169,4.0
170,22.0
171,2.0
172,12.0
173,0.0
174,6.0
175,3.0
176,7.0
177,7.0
178,4.0
179,0.0
180,8.0
181,6.0
182,-5.0
183,-5.0
184,-1.0
185,35.0
186,10.0
187,5.0
188,0.0
189,13.0
190,13.0
191,-2.0
192,2.0
193,7.0
194,7.0
195,5.0
196,-1.0
197,1.0
198,7.0
199,1.0
200,8.0
201,4.0
202,11.0
203,-17.0
204,1.0
205,3.0
206,33.0
207,5.0
208,12.0
209,5.0
210,6.0
211,-3.0
212,-13.0
213,22.0
214,6.0
215,30.0
216,16.0
217,8.0
218,16.0
219,-2.0
220,-1.0
221,4.0
222,8.0
223,15.0
224,46.0
225,43.0
226,-2.0
227,8.0
228,1.0
229,3.0
230,0.0
231,15.0
232,8.0
233,3.0
234,-1.0
235,0.0
236,2.0
237,11.0
238,15.0
239,13.0
240,-1.0
241,2.0
242,-5.0
243,6.0
244,3.0
245,-2.0
246,3.0
247,8.0
248,28.0
249,4.0
250,11.0
251,4.0
252,28.0
253,22.0
254,1.0
255,-1.0
256,26.0
257,-2.0
258,8.0
259,19.0
260,13.0
261,-6.0
262,12.0
263,8.0
264,13.0
265,14.0
266,-1.0
267,25.0
268,14.0
269,-2.0
270,-16.0
271,1.0
272,12.0
273,1.0
274,10.0
275,10.0
276,9.0
277,34.0
278,18.0
279,-1.0
280,30.0
281,12.0
282,-2.0
283,24.0
284,6.0
285,2.0
286,9.0
287,24.0
288,1.0
289,7.0
290,1.0
291,10.0
292,11.0
293,18.0
294,1.0
295,27.0
296,-2.0
297,3.0
298,13.0
299,7.0
300,-2.0
301,24.0
302,20.0
303,18.0
304,12.0
305,7.0
306,8.0
307,12.0
308,1.0
309,-1.0
310,25.0
311,5.0
312,0.0
313,9.0
314,0.0
315,11.0
316,5.0
317,2.0
318,-5.0
319,22.0
320,6.0
321,-1.0
322,33.0
323,7.0
324,31.0
325,21.0
326,15.0
327,7.0
328,10.0
329,38.0
330,20.0
331,11.0
332,25.0
333,8.0
334,17.0
335,22.0
336,10.0
337,28.0
338,7.0
339,-2.0
340,2.0
341,18.0
342,-3.0
343,14.0
344,11.0
345,-3.0
346,20.0
347,13.0
348,-2.0
349,23.0
350,2.0
351,24.0
352,0.0
353,17.0
354,29.0
355,0.0
356,4.0
357,26.0
358,30.0
359,21.0
360,5.0
361,11.0
362,12.0
363,5.0
364,4.0
365,4.0
366,3.0
367,5.0
368,8.0
369,18.0
370,21.0
371,-3.0
372,10.0
373,5.0
374,2.0
375,1.0
376,16.0
377,9.0
378,12.0
379,15.0
380,23.0
381,15.0
382,9.0
383,3.0
384,-3.0
385,26.0
386,18.0
387,3.0
388,-1.0
389,23.0
390,21.0
391,25.0
392,23.0
393,11.0
394,12.0
395,4.0
396,21.0
397,1.0
398,-11.0
399,25.0
400,3.0
401,8.0
402,8.0
403,2.0
404,10.0
405,4.0
406,21.0
407,-16.0
408,2.0
409,8.0
410,5.0
411,35.0
412,13.0
413,34.0
414,30.0
415,10.0
416,11.0
417,11.0
418,32.0
419,6.0
420,5.0
421,46.0
422,19.0
423,-2.0
424,5.0
425,4.0
426,26.0
427,-6.0
428,0.0
429,1.0
430,28.0
431,11.0
432,13.0
433,6.0
434,55.0
435,7.0
436,1.0
437,4.0
438,2.0
439,2.0
440,3.0
441,23.0
442,11.0
443,4.0
444,-1.0
445,1.0
446,-1.0
447,4.0
448,-4.0
449,3.0
450,11.0
451,38.0
452,-3.0
453,22.0
454,17.0
455,6.0
456,2.0
457,6.0
458,16.0
459,25.0
460,32.0
461,1.0
462,1.0
463,0.0
464,0.0
465,6.0
466,11.0
467,9.0
468,14.0
469,9.0
470,28.0
471,4.0
472,-3.0
473,-8.0
474,7.0
475,0.0
476,2.0
477,-3.0
478,-1.0
479,6.0
480,11.0
481,21.0
482,-5.0
483,3.0
484,3.0
