episode,total_reward
1,13.0
2,-5.0
3,6.0
4,-9.0
5,1.0
6,-7.0
7,1.0
8,-12.0
9,6.0
10,1.0
11,-1.0
12,7.0
13,0.0
14,18.0
15,5.0
16,-1.0
17,-2.0
18,-2.0
19,-1.0
20,-1.0
21,8.0
22,-4.0
23,-6.0
24,0.0
25,0.0
26,-4.0
27,1.0
28,0.0
29,-2.0
30,0.0
31,3.0
32,0.0
33,-4.0
34,6.0
35,1.0
36,0.0
37,3.0
38,10.0
39,-2.0
40,7.0
41,-6.0
42,-2.0
43,0.0
44,-5.0
45,16.0
46,7.0
47,1.0
48,4.0
49,-5.0
50,2.0
51,0.0
52,1.0
53,1.0
54,-1.0
55,8.0
56,-2.0
57,1.0
58,3.0
59,6.0
60,-10.0
61,-11.0
62,-10.0
63,0.0
64,-10.0
65,-1.0
66,7.0
67,6.0
68,19.0
69,-5.0
70,4.0
71,4.0
72,19.0
73,-7.0
74,0.0
75,-1.0
76,7.0
77,1.0
78,-2.0
79,4.0
80,2.0
81,1.0
82,5.0
83,-2.0
84,16.0
85,3.0
86,7.0
87,0.0
88,8.0
89,0.0
90,0.0
91,3.0
92,5.0
93,1.0
94,-12.0
95,2.0
96,7.0
97,7.0
98,3.0
99,-4.0
100,-2.0
101,-4.0
102,10.0
103,-1.0
104,8.0
105,-4.0
106,10.0
107,9.0
108,-1.0
109,-1.0
110,-3.0
111,0.0
112,0.0
113,5.0
114,2.0
115,-3.0
116,1.0
117,-2.0
118,-12.0
119,8.0
120,10.0
121,0.0
122,4.0
123,3.0
124,-2.0
125,30.0
126,1.0
127,5.0
128,3.0
129,0.0
130,-4.0
131,0.0
132,2.0
133,15.0
134,16.0
135,10.0
136,5.0
137,-1.0
138,9.0
139,8.0
140,11.0
141,-4.0
142,-3.0
143,12.0
144,10.0
145,12.0
146,20.0
147,16.0
148,23.0
149,2.0
150,17.0
151,1.0
152,8.0
153,6.0
154,37.0
155,6.0
156,0.0
157,0.0
158,7.0
159,18.0
160,0.0
161,26.0
162,15.0
163,18.0
164,12.0
165,-5.0
166,2.0
167,-1.0
168,22.0
169,6.0
170,4.0
171,3.0
172,12.0
173,4.0
174,1.0
175,-3.0
176,13.0
177,6.0
178,1.0
179,8.0
180,0.0
181,11.0
182,10.0
183,-11.0
184,4.0
185,29.0
186,-2.0
187,14.0
188,6.0
189,25.0
190,1.0
191,19.0
192,7.0
193,4.0
194,-3.0
195,21.0
196,5.0
197,1.0
198,32.0
199,3.0
200,8.0
201,8.0
202,7.0
203,16.0
204,5.0
205,8.0
206,5.0
207,-2.0
208,-11.0
209,-1.0
210,9.0
211,3.0
212,-5.0
213,-1.0
214,-3.0
215,-3.0
216,4.0
217,-2.0
218,3.0
219,5.0
220,32.0
221,4.0
222,5.0
223,2.0
224,-3.0
225,14.0
226,31.0
227,1.0
228,-4.0
229,4.0
230,31.0
231,6.0
232,0.0
233,7.0
234,16.0
235,2.0
236,20.0
237,9.0
238,5.0
239,6.0
240,1.0
241,-1.0
242,10.0
243,11.0
244,42.0
245,13.0
246,7.0
247,5.0
248,15.0
249,15.0
250,16.0
251,3.0
252,-8.0
253,1.0
254,-3.0
255,16.0
256,5.0
257,6.0
258,4.0
259,9.0
260,-3.0
261,0.0
262,18.0
263,11.0
264,9.0
265,20.0
266,29.0
267,6.0
268,9.0
269,-1.0
270,1.0
271,16.0
272,16.0
273,1.0
274,16.0
275,11.0
276,18.0
277,-3.0
278,10.0
279,10.0
280,20.0
281,5.0
282,8.0
283,21.0
284,4.0
285,6.0
286,35.0
287,6.0
288,26.0
289,0.0
290,9.0
291,16.0
292,-2.0
293,5.0
294,19.0
295,3.0
296,18.0
297,11.0
298,13.0
299,20.0
300,21.0
301,15.0
302,30.0
303,0.0
304,34.0
305,2.0
306,7.0
307,16.0
308,3.0
309,16.0
310,11.0
311,17.0
312,40.0
313,4.0
314,2.0
315,5.0
316,18.0
317,2.0
318,14.0
319,16.0
320,31.0
321,2.0
322,24.0
323,22.0
324,8.0
325,-1.0
326,15.0
327,5.0
328,9.0
329,6.0
330,4.0
331,7.0
332,17.0
333,12.0
334,-5.0
335,9.0
336,27.0
337,29.0
338,20.0
339,-2.0
340,0.0
341,6.0
342,-1.0
343,17.0
344,21.0
345,-1.0
346,9.0
347,29.0
348,9.0
349,17.0
350,-5.0
351,6.0
352,-8.0
353,25.0
354,14.0
355,11.0
356,23.0
357,14.0
358,31.0
359,14.0
360,4.0
361,37.0
362,33.0
363,6.0
364,0.0
365,4.0
366,33.0
367,6.0
368,37.0
369,20.0
370,2.0
371,16.0
372,11.0
373,0.0
374,1.0
375,11.0
376,4.0
377,0.0
378,40.0
379,49.0
380,16.0
381,-3.0
382,18.0
383,38.0
384,25.0
385,2.0
386,26.0
387,28.0
388,21.0
389,27.0
390,-2.0
391,1.0
392,9.0
393,1.0
394,28.0
395,0.0
396,29.0
397,31.0
398,16.0
399,11.0
400,22.0
401,1.0
402,16.0
403,4.0
404,9.0
405,23.0
406,6.0
407,11.0
408,5.0
409,11.0
410,17.0
411,10.0
412,9.0
413,6.0
414,13.0
415,8.0
416,2.0
417,-2.0
418,7.0
419,12.0
420,-2.0
421,8.0
422,20.0
423,13.0
424,14.0
425,6.0
426,0.0
427,16.0
428,9.0
429,-4.0
430,-3.0
431,22.0
432,20.0
433,2.0
434,28.0
435,-1.0
436,33.0
437,0.0
438,14.0
439,8.0
440,38.0
441,13.0
442,47.0
443,43.0
444,11.0
445,8.0
446,8.0
447,1.0
448,23.0
449,1.0
450,9.0
451,38.0
452,5.0
453,25.0
454,2.0
455,24.0
456,5.0
457,14.0
458,21.0
459,-6.0
460,16.0
461,19.0
462,0.0
463,2.0
464,4.0
465,3.0
466,6.0
467,20.0
468,3.0
469,6.0
470,21.0
471,24.0
472,3.0
473,20.0
474,10.0
475,3.0
476,11.0
477,15.0
478,-1.0
479,41.0
480,50.0
481,2.0
482,15.0
483,17.0
484,0.0
485,18.0
486,29.0
487,17.0
488,16.0
489,12.0
490,6.0
491,7.0
492,-2.0
493,29.0
494,14.0
495,22.0
496,13.0
497,30.0
498,5.0
499,2.0
500,8.0
501,18.0
502,11.0
503,6.0
504,13.0
505,20.0
506,2.0
507,-1.0
508,-4.0
509,18.0
510,19.0
511,13.0
512,38.0
513,4.0
514,24.0
515,-2.0
516,22.0
517,13.0
518,5.0
519,12.0
520,2.0
521,32.0
522,14.0
523,14.0
524,17.0
525,29.0
526,9.0
527,11.0
528,12.0
529,21.0
530,3.0
531,30.0
532,1.0
533,22.0
534,9.0
535,4.0
536,0.0
537,5.0
538,33.0
539,1.0
540,34.0
541,12.0
542,34.0
543,3.0
544,-1.0
545,31.0
546,9.0
547,9.0
548,9.0
549,11.0
550,32.0
551,-3.0
552,-1.0
553,4.0
554,5.0
555,11.0
556,10.0
557,2.0
558,1.0
559,1.0
560,20.0
561,20.0
562,2.0
563,49.0
564,12.0
565,36.0
566,8.0
567,16.0
568,17.0
569,10.0
570,6.0
571,43.0
572,10.0
